City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Ouesso,CG,79.9,light rain,1.61,16.05,Hôtel ABENI
11,Cockburn Town,TC,80.1,moderate rain,21.46,-71.14,Osprey Beach Hotel
13,Puerto Carreno,CO,88.77,broken clouds,6.19,-67.49,Casa Hotel Victoria
17,Dhidhdhoo,MV,84.0,light rain,6.88,73.1,Dhidhoo beach
23,Poum,NC,76.86,clear sky,-20.23,164.02,Gîte kajeon
26,Victoria,HK,79.0,clear sky,22.29,114.16,Mini Hotel Central
27,Banda Aceh,ID,79.18,heavy intensity rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
31,Atuona,PF,77.27,broken clouds,-9.8,-139.03,Villa Enata
33,Georgetown,MY,80.6,heavy intensity rain,5.41,100.34,Cititel Penang
37,San Cristobal,VE,80.6,fog,7.77,-72.22,Pirineos
40,Hithadhoo,MV,83.53,light rain,-0.6,73.08,Scoop Guest House
43,Cabo San Lucas,MX,75.2,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
46,Kapaa,US,77.0,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
49,Saint-Joseph,RE,77.0,overcast clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
54,Aracaju,BR,86.0,scattered clouds,-10.91,-37.07,HOTEL FÊNIX
56,Garowe,SO,83.75,broken clouds,8.41,48.48,Curubo Hotel
60,Saint-Philippe,RE,77.0,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
73,Padang,ID,79.39,heavy intensity rain,-0.95,100.35,Mercure Padang
75,Constantine,DZ,75.2,scattered clouds,36.37,6.61,Grand Hotel Cirta
78,East London,ZA,75.2,few clouds,-33.02,27.91,Tu Casa
79,Balikpapan,ID,79.16,clear sky,-1.27,116.83,Grand Jatra Hotel Balikpapan
82,Bengkulu,ID,77.65,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
89,Matara,LK,79.18,few clouds,5.95,80.54,Amaloh Boutique Resort
92,Portobelo,PA,86.0,scattered clouds,9.55,-79.65,Scuba Portobelo
93,San Patricio,US,75.0,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
94,Lamu,KE,84.2,clear sky,-2.27,40.9,Lamu House
101,Kutum,SD,76.68,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
102,Diffa,NE,85.46,scattered clouds,13.32,12.61,ProDAF/Diffa
