City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Ponta Do Sol,PT,32.67,-17.1,71.6,60,40,12.75,scattered clouds
1,Ouesso,CG,1.61,16.05,79.9,84,72,1.86,light rain
2,Iwakura,JP,35.28,136.87,59.0,85,100,3.2,overcast clouds
3,Avarua,CK,-21.21,-159.78,68.0,100,100,2.24,overcast clouds
4,Mandurah,AU,-32.55,115.7,68.0,74,0,6.58,clear sky
5,Mataura,NZ,-46.19,168.86,45.0,86,100,5.01,overcast clouds
6,Punta Arenas,CL,-53.15,-70.92,59.0,51,75,24.16,broken clouds
7,Albany,US,42.6,-73.97,66.0,44,29,3.22,scattered clouds
8,Narsaq,GL,60.92,-46.05,32.0,95,75,9.17,light shower snow
9,Cape Town,ZA,-33.93,18.42,66.99,68,40,29.97,scattered clouds
10,Viseu,PT,40.66,-7.91,62.01,75,53,8.99,light rain
11,Cockburn Town,TC,21.46,-71.14,80.1,80,100,18.16,moderate rain
12,Atar,MR,20.52,-13.05,97.34,16,22,8.48,few clouds
13,Puerto Carreno,CO,6.19,-67.49,88.77,61,67,4.18,broken clouds
14,Provideniya,RU,64.38,-173.3,30.4,92,68,16.02,broken clouds
15,Barrow,US,71.29,-156.79,32.0,97,90,20.8,overcast clouds
16,Bredasdorp,ZA,-34.53,20.04,73.4,38,66,26.4,broken clouds
17,Dhidhdhoo,MV,6.88,73.1,84.0,76,100,12.44,light rain
18,Dikson,RU,73.51,80.55,-2.13,89,3,10.94,clear sky
19,Log,RU,49.48,43.86,43.7,76,100,16.58,overcast clouds
20,Bluff,NZ,-46.6,168.33,45.0,86,100,5.01,overcast clouds
21,Khatanga,RU,71.97,102.5,-6.29,88,2,9.48,clear sky
22,Qaqortoq,GL,60.72,-46.03,32.0,94,75,9.17,light shower snow
23,Poum,NC,-20.23,164.02,76.86,73,0,16.84,clear sky
24,Yellowknife,CA,62.46,-114.35,8.01,83,75,4.09,fog
25,Kaitangata,NZ,-46.28,169.85,45.0,82,100,7.0,overcast clouds
26,Victoria,HK,22.29,114.16,79.0,54,6,3.0,clear sky
27,Banda Aceh,ID,5.56,95.32,79.18,78,100,2.82,heavy intensity rain
28,Hobart,AU,-42.88,147.33,44.01,81,0,9.17,clear sky
29,Sayansk,RU,54.11,102.16,23.5,98,100,6.4,light snow
30,Saskylakh,RU,71.92,114.08,-8.81,90,9,6.02,clear sky
31,Atuona,PF,-9.8,-139.03,77.27,73,67,17.31,broken clouds
32,Clyde River,CA,70.47,-68.59,-2.2,77,20,12.75,few clouds
33,Georgetown,MY,5.41,100.34,80.6,88,40,3.36,heavy intensity rain
34,Fairbanks,US,64.84,-147.72,30.2,86,90,3.15,light snow
35,Toda Raisingh,IN,26.03,75.48,72.14,22,0,6.67,clear sky
36,Adrar,MR,20.5,-10.07,94.93,15,96,3.67,overcast clouds
37,San Cristobal,VE,7.77,-72.22,80.6,88,40,6.93,fog
38,Wanaka,NZ,-44.7,169.15,43.0,76,100,1.01,overcast clouds
39,Rikitea,PF,-23.12,-134.97,71.38,74,69,19.26,broken clouds
40,Hithadhoo,MV,-0.6,73.08,83.53,73,89,9.89,light rain
41,Tasiilaq,GL,65.61,-37.64,28.4,92,90,1.12,light snow
42,Busselton,AU,-33.65,115.33,59.0,64,14,4.56,few clouds
43,Cabo San Lucas,MX,22.89,-109.91,75.2,83,20,2.24,few clouds
44,Chimore,BO,-16.98,-65.13,105.87,18,2,4.21,clear sky
45,Sompeta,IN,18.93,84.6,74.93,67,0,4.72,clear sky
46,Kapaa,US,22.08,-159.32,77.0,94,90,12.75,overcast clouds
47,Jamestown,US,42.1,-79.24,60.01,62,1,5.82,clear sky
48,Nurota,UZ,40.56,65.69,69.8,11,75,11.41,haze
49,Saint-Joseph,RE,-21.37,55.62,77.0,69,90,2.24,overcast clouds
50,New Norfolk,AU,-42.78,147.06,44.01,67,1,2.71,clear sky
51,Vaini,TO,-21.2,-175.2,68.0,88,20,3.36,few clouds
52,Carnarvon,AU,-24.87,113.63,71.6,83,90,17.22,overcast clouds
53,Broome,US,42.25,-75.83,62.01,54,1,9.17,clear sky
54,Aracaju,BR,-10.91,-37.07,86.0,70,40,13.87,scattered clouds
55,Iqaluit,CA,63.75,-68.51,6.8,77,90,4.7,overcast clouds
56,Garowe,SO,8.41,48.48,83.75,32,73,2.1,broken clouds
57,Lebu,CL,-37.62,-73.65,56.64,60,0,21.56,clear sky
58,Hermanus,ZA,-34.42,19.23,68.0,57,6,15.01,light rain
59,Portland,US,45.52,-122.68,39.99,93,75,3.36,fog
60,Saint-Philippe,RE,-21.36,55.77,77.0,69,90,2.24,overcast clouds
61,Veselynove,UA,47.36,31.23,49.98,77,0,8.59,clear sky
62,Ingham,US,42.6,-84.38,63.0,55,1,8.05,clear sky
63,Batemans Bay,AU,-35.72,150.18,48.52,77,51,5.48,broken clouds
64,Adre,TD,13.47,22.2,77.77,27,22,1.05,few clouds
65,Chokurdakh,RU,70.63,147.92,1.81,94,100,7.23,overcast clouds
66,Lata,PT,40.16,-8.33,64.0,88,80,1.99,light rain
67,Tuktoyaktuk,CA,69.45,-133.04,26.6,86,75,26.4,light snow
68,Taoudenni,ML,22.68,-3.98,98.76,9,46,6.51,scattered clouds
69,Udachnyy,RU,66.42,112.4,1.4,84,0,4.47,clear sky
70,Port Alfred,ZA,-33.59,26.89,71.96,75,37,17.38,scattered clouds
71,Bograd,RU,54.23,90.83,37.4,74,0,6.71,clear sky
72,Pimentel,PE,-6.84,-79.93,69.8,60,0,12.75,clear sky
73,Padang,ID,-0.95,100.35,79.39,76,100,4.38,heavy intensity rain
74,Cherskiy,RU,68.75,161.3,7.16,95,94,6.02,light snow
75,Constantine,DZ,36.37,6.61,75.2,27,40,8.05,scattered clouds
76,Saldanha,ZA,-33.01,17.94,66.2,63,5,16.11,clear sky
77,Kaka,TM,37.35,59.61,60.73,30,76,5.5,broken clouds
78,East London,ZA,-33.02,27.91,75.2,73,20,13.87,few clouds
79,Balikpapan,ID,-1.27,116.83,79.16,84,1,5.17,clear sky
80,Matay,EG,28.42,30.78,70.18,43,17,8.14,few clouds
81,Belyy Yar,RU,53.6,91.39,37.4,74,0,6.71,clear sky
82,Bengkulu,ID,-3.8,102.27,77.65,88,100,4.52,overcast clouds
83,Djougou,BJ,9.71,1.67,91.4,21,79,2.24,broken clouds
84,Kodiak,US,57.79,-152.41,33.8,86,90,4.7,overcast clouds
85,Maldonado,UY,-34.67,-54.92,70.0,73,40,13.87,scattered clouds
86,Sarkand,KZ,45.41,79.92,48.04,38,0,5.57,clear sky
87,Upernavik,GL,72.79,-56.15,-2.99,76,20,6.93,few clouds
88,Burns Lake,CA,54.23,-125.75,19.4,85,51,3.36,broken clouds
89,Matara,LK,5.95,80.54,79.18,86,23,5.75,few clouds
90,Alice Springs,AU,-23.7,133.88,68.0,15,0,3.36,clear sky
91,Montijo,PT,38.71,-8.97,66.2,72,20,16.11,shower rain
92,Portobelo,PA,9.55,-79.65,86.0,74,40,12.75,scattered clouds
93,San Patricio,US,28.02,-97.52,75.0,88,40,8.05,scattered clouds
94,Lamu,KE,-2.27,40.9,84.2,70,1,6.93,clear sky
95,Kruisfontein,ZA,-34.0,24.73,72.0,53,30,4.0,scattered clouds
96,Sitka,US,57.05,-135.33,30.06,93,39,3.15,scattered clouds
97,Ushuaia,AR,-54.8,-68.3,59.0,47,75,19.46,broken clouds
98,Yarkovo,RU,57.4,67.08,36.16,93,100,7.7,overcast clouds
99,Deputatskiy,RU,69.3,139.9,-8.41,90,88,2.8,overcast clouds
100,Kristiansund,NO,63.11,7.73,44.6,87,75,8.05,drizzle
101,Kutum,SD,14.2,24.67,76.68,20,27,11.25,scattered clouds
102,Diffa,NE,13.32,12.61,85.46,15,39,10.02,scattered clouds
103,Awbari,LY,26.59,12.78,69.44,34,98,6.46,overcast clouds
104,Srednekolymsk,RU,67.45,153.68,-4.88,92,100,9.73,overcast clouds
105,Lompoc,US,34.64,-120.46,51.8,81,75,11.41,broken clouds
106,Fortuna,US,40.6,-124.16,48.0,93,75,10.29,broken clouds
107,Bilibino,RU,68.05,166.44,-1.62,88,83,1.9,broken clouds
108,Luganville,VU,-15.53,167.17,80.6,88,75,7.34,broken clouds
109,Aripuana,BR,-9.17,-60.63,97.5,36,83,5.21,broken clouds
110,Solano,US,38.23,-121.95,46.99,80,75,5.82,broken clouds
111,Chinhoyi,ZW,-17.37,30.2,86.38,27,70,2.55,broken clouds
112,Zaigrayevo,RU,51.83,108.27,15.8,78,40,2.24,mist
113,Makokou,GA,0.57,12.86,77.0,83,90,0.92,overcast clouds
114,Thompson,CA,55.74,-97.86,14.0,92,90,2.57,light snow
115,Monrovia,LR,6.3,-10.8,87.8,70,75,7.45,broken clouds
116,Charters Towers,AU,-20.1,146.27,73.63,76,39,15.21,scattered clouds
117,Korla,CN,41.76,86.15,39.43,60,0,3.36,clear sky
118,Cayenne,GF,4.93,-52.33,89.6,59,75,6.93,broken clouds
119,Nikolskoye,RU,59.7,30.79,48.99,76,0,6.71,clear sky
120,Amapa,BR,1.0,-52.0,82.35,87,41,5.79,scattered clouds
121,Chifeng,CN,42.27,118.96,27.86,63,0,8.9,clear sky
122,De Aar,ZA,-30.65,24.01,76.53,22,0,26.35,clear sky
123,Salvacion,PH,7.98,126.13,73.47,94,100,0.92,light rain
124,Rosarito,MX,32.33,-117.03,62.01,87,90,11.41,heavy intensity rain
125,Daru,PG,-9.08,143.21,78.53,87,83,4.14,light rain
126,Marawi,PH,8.0,124.29,73.99,91,100,3.0,moderate rain
127,Nalut,LY,30.33,10.85,71.29,27,0,8.43,clear sky
128,Burnie,AU,-41.07,145.92,48.0,70,0,4.0,clear sky
129,Viedma,AR,-40.81,-63.0,73.0,43,65,4.0,broken clouds
130,Lagoa,PT,39.05,-27.98,61.27,71,3,19.95,clear sky
131,Ardino,BG,41.58,25.13,55.99,66,73,3.36,broken clouds
132,Hilo,US,19.73,-155.09,71.6,88,90,4.7,heavy intensity rain
133,Arraial Do Cabo,BR,-22.97,-42.03,73.4,78,75,5.82,broken clouds
